{No} name,port,instance_id,online_since,instance_path
{0} '149.165.238.58',1239,0,'2017-06-20 13:53:12','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/0/0'
{1} '149.165.238.58',1240,1,'2017-06-20 13:53:12','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/0/1'
{2} 'iuwrang-xfer2.uits.indiana.edu',1241,4294967298,'2017-06-20 13:53:12','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/2'
{3} 'iuwrang-xfer2.uits.indiana.edu',1242,4294967299,'2017-06-20 13:53:13','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/3'
{4} 'iuwrang-xfer2.uits.indiana.edu',1243,4294967300,'2017-06-20 13:53:13','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/4'
{5} 'iuwrang-xfer2.uits.indiana.edu',1244,4294967301,'2017-06-20 13:53:13','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/5'
{6} 'iuwrang-xfer2.uits.indiana.edu',1245,4294967302,'2017-06-20 13:53:13','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/6'
{7} 'iuwrang-xfer2.uits.indiana.edu',1246,4294967303,'2017-06-20 13:53:13','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/7'
{8} 'iuwrang-xfer2.uits.indiana.edu',1247,4294967304,'2017-06-20 13:53:13','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/8'
{9} 'iuwrang-xfer2.uits.indiana.edu',1248,4294967305,'2017-06-20 13:53:14','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/9'
{10} 'iuwrang-xfer2.uits.indiana.edu',1249,4294967306,'2017-06-20 13:53:14','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/10'
{11} 'iuwrang-xfer2.uits.indiana.edu',1250,4294967307,'2017-06-20 13:53:14','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/11'
{12} 'iuwrang-xfer2.uits.indiana.edu',1251,4294967308,'2017-06-20 13:53:14','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/12'
{13} 'iuwrang-xfer2.uits.indiana.edu',1252,4294967309,'2017-06-20 13:53:14','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/13'
{14} 'iuwrang-xfer2.uits.indiana.edu',1253,4294967310,'2017-06-20 13:53:14','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/14'
{15} 'iuwrang-xfer2.uits.indiana.edu',1254,4294967311,'2017-06-20 13:53:14','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/15'
{16} 'iuwrang-xfer2.uits.indiana.edu',1255,4294967312,'2017-06-20 13:53:15','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/16'
{17} 'iuwrang-xfer2.uits.indiana.edu',1256,4294967313,'2017-06-20 13:53:15','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/17'
{18} 'iuwrang-xfer2.uits.indiana.edu',1257,4294967314,'2017-06-20 13:53:15','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/18'
{19} 'iuwrang-xfer2.uits.indiana.edu',1258,4294967315,'2017-06-20 13:53:15','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/19'
{20} 'iuwrang-xfer2.uits.indiana.edu',1259,4294967316,'2017-06-20 13:53:15','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/20'
{21} 'iuwrang-xfer2.uits.indiana.edu',1260,4294967317,'2017-06-20 13:53:15','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/21'
{22} 'iuwrang-xfer2.uits.indiana.edu',1261,4294967318,'2017-06-20 13:53:15','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/22'
{23} 'iuwrang-xfer2.uits.indiana.edu',1262,4294967319,'2017-06-20 13:53:16','/data/projects/services/scidb/scidbtrunk/stage/DB-mydb/1/23'
